time,activity,activity_true,sigma
0.0,1015.540571067476,1000.0,51.0
1.5384615384615385,869.4401331192252,918.2272020267402,46.91136010133701
3.076923076923077,875.5284616215436,843.1411945418561,43.15705972709281
4.615384615384616,811.5447781883994,774.195179977652,39.7097589988826
6.153846153846154,639.5877539246463,710.8870739334681,36.544353696673404
7.6923076923076925,608.9534048798738,652.7558488549048,33.637792442745244
9.230769230769232,603.3372544917503,599.378176700629,30.96890883503145
10.76923076923077,541.3466553652728,550.3653461477076,28.51826730738538
12.307692307692308,504.9190987175564,505.360431885688,26.268021594284402
13.846153846153847,443.390509851551,464.03569538542035,24.20178476927102
15.384615384615385,445.7047390600774,426.0901982142873,22.304509910714366
16.923076923076923,407.24086426356416,391.2476105173242,20.56238052586621
18.461538461538463,360.50631966964585,359.2541987049704,18.962709935248522
20.0,349.5967650244853,329.87697769322347,17.493848884661173
21.53846153846154,310.44999965475284,302.902014240286,16.1451007120143
23.076923076923077,265.3237026596126,278.13286902412176,14.906643451206088
24.615384615384617,260.4666646623384,255.38916611568914,13.769458305784458
26.153846153846157,222.30324521710722,234.50527943035155,12.725263971517577
27.692307692307693,225.66537369987918,215.32912659183063,11.766456329591533
29.230769230769234,197.17756530865083,197.72106142527838,10.88605307126392
30.76923076923077,179.6898801379425,181.5528570142906,10.07764285071453
32.30769230769231,160.35006405929178,166.70677191619296,9.335338595809649
33.84615384615385,163.65424106288947,153.07469273551578,8.65373463677579
35.38461538461539,139.31680462937848,140.55734681163563,8.027867340581782
36.92307692307693,125.8711753731552,129.06357928715033,7.453178964357517
38.46153846153847,116.07099385901873,118.50968929239637,6.925484464619819
40.0,112.24739248088864,108.81882041201548,6.440941020600775
41.53846153846154,102.11161093176037,99.92040099477533,5.9960200497387675
43.07692307692308,94.05576606732511,91.74963023082245,5.587481511541123
44.61538461538462,86.49259624357848,84.24700625383613,5.2123503126918065
46.15384615384615,87.78320771201808,77.35789283158925,4.867894641579463
47.69230769230769,69.18228043210186,71.0321214894346,4.55160607447173
49.23076923076923,63.04086702675116,65.22362616926705,4.261181308463353
50.769230769230774,56.6394882157104,59.89010776344414,3.9945053881722075
52.307692307692314,57.30242488613508,54.99272608070726,3.749636304035363
53.84615384615385,54.47520820824832,50.49581700091078,3.524790850045539
55.38461538461539,45.988517305001615,46.36663275880062,3.318331637940031
56.92307692307693,39.946459541857244,42.57510346551488,3.128755173275744
58.46153846153847,36.657539225320946,39.093618131138705,2.954680906556935
60.0,37.7151271082745,35.896823593657345,2.7948411796828676
